query_number,query_cursor,success,reviews_retrieved
291,AoIIPwCjDnj8mzo%3D,1.0,100.0
292,AoIIPwCjDnTVxzA%3D,1.0,100.0
293,AoIIPwCjDnfusyc%3D,1.0,100.0
294,AoIIPwCjDnjl0Bk%3D,1.0,100.0
295,AoIIPwCaJHDZ61g%3D,1.0,100.0
296,AoIIPwCUPnKgrHQ%3D,1.0,100.0
297,AoIIPwCUPn6k7kM%3D,1.0,100.0
298,AoIIPwCUPnDIryg%3D,1.0,100.0
299,AoIIPwCTp3vW1B0%3D,1.0,100.0
300,AoIIPwCH/XrCv6UB,1.0,100.0
301,AoIIPwCH/Xz9hik%3D,1.0,100.0
302,AoIIPwCEMHW69B8%3D,1.0,100.0
303,AoIIPwB55nnRw08%3D,1.0,100.0
304,AoIIPwBoiHjSwx0%3D,1.0,100.0
305,AoIIPwBZIX7Fvj8%3D,1.0,100.0
306,AoIIPwBRuXGMj3M%3D,1.0,100.0
307,AoIIPwBKUXL9nQI%3D,1.0,100.0
308,AoIIPwA7cXSk1zw%3D,1.0,100.0
309,AoIIPwAnyHzflUM%3D,1.0,100.0
310,AoIIPwAcDXPs5kw%3D,1.0,100.0
311,AoIIPwAOv3DgvU4%3D,1.0,100.0
312,AoIIPwABcX/B/FM%3D,1.0,100.0
313,AoIIPwAAAHfIuL0B,1.0,100.0
314,AoIIPwAAAHj296IB,1.0,100.0
315,AoIIPwAAAHyZsI0B,1.0,100.0
316,AoIIPwAAAHOdz30%3D,1.0,100.0
317,AoIIPwAAAHainGU%3D,1.0,100.0
318,AoIIPwAAAHDu8Uc%3D,1.0,100.0
319,AoIIPwAAAHaAjyg%3D,1.0,100.0
320,AoIIPv/6wn3FoTo%3D,1.0,100.0
321,AoIIPv/ygHTvr2Q%3D,1.0,100.0
322,AoIIPv/mDH2ynEc%3D,1.0,100.0
323,AoIIPv/ag3Wr/SA%3D,1.0,100.0
324,AoIIPv/GdneutS8%3D,1.0,100.0
325,AoIIPv%2BjVXXD5KoB,1.0,100.0
326,AoIIPv%2BCLH/Byh0%3D,1.0,100.0
327,AoIIPv9dV3uWsUo%3D,1.0,100.0
328,AoIIPv9HD3uNh6sB,1.0,100.0
329,AoIIPv8mSnu/i3k%3D,1.0,100.0
330,AoIIPv8CHXjJ9js%3D,1.0,100.0
331,AoIIPv7wB33riMsB,1.0,100.0
332,AoIIPv7ulXbx4Ws%3D,1.0,100.0
333,AoIIPv7XhH7%2Boko%3D,1.0,100.0
334,AoIIPv6%2BvnqVtmI%3D,1.0,100.0
335,AoIIPv655Xnc4IIB,1.0,100.0
336,AoIIPv655XaxnnU%3D,1.0,100.0
337,AoIIPv655XCCz2Q%3D,1.0,100.0
338,AoIIPv655XOJiT4%3D,1.0,100.0
339,AoIIPv64D36D20M%3D,1.0,100.0
340,AoIIPv6r3nrPzyc%3D,1.0,100.0
341,AoIIPv6r3nDMqiI%3D,1.0,100.0
